PID,ID,app_dt,target,Org_class_new,Org_new,perf_type,mob,threshold_dpd,observe_month,sample_flag,channel_new,ind
10000005,16,20250913,0,Bank,百信银行,fpd,,30,,fpd30,京东白条,百信银行#fpd30#京东白条
10000005,17,20250315,0,Bank,百信银行,dpd,12,30,12,mob12_dpd30,京东白条,百信银行#mob12_dpd30#京东白条
10000005,17,20250315,0,Rate36,美团月付,dpd,6,30,6,mob6_dpd30,api,美团月付#mob6_dpd30#api
10000005,17,20250315,0,Rate36,拍拍贷,fpd,,60,,fpd60,api,拍拍贷#fpd60#api
10000006,18,20240607,1,Rate36,拍拍贷,dpd,6,60,6,mob6_dpd60,api,拍拍贷#mob6_dpd60#api
10000006,18,20240607,0,Bank,百信银行,dpd,3,30,3,mob3_dpd30,api,百信银行#mob3_dpd30#api
10000006,18,20240607,0,Bank,微众银行,dpd,3,30,3,mob3_dpd30,京东白条,微众银行#mob3_dpd30#京东白条
10000006,19,20251117,1,Rate24,分期乐,dpd,9,60,9,mob9_dpd60,api,分期乐#mob9_dpd60#api
10000006,19,20251117,0,Rate36,美团月付,dpd,12,60,12,mob12_dpd60,api,美团月付#mob12_dpd60#api
10000006,20,20250121,0,Rate36,美团月付,dpd,3,30,3,mob3_dpd30,h5,美团月付#mob3_dpd30#h5
10000006,20,20250121,0,Rate24,分期乐,dpd,3,30,3,mob3_dpd30,小程序,分期乐#mob3_dpd30#小程序
10000007,21,20250310,0,Bank,微众银行,dpd,9,30,9,mob9_dpd30,京东白条,微众银行#mob9_dpd30#京东白条
10000007,21,20250310,0,Bank,百信银行,fpd,,30,,fpd30,api,百信银行#fpd30#api
10000007,21,20250310,0,Bank,百信银行,dpd,6,30,6,mob6_dpd30,api,百信银行#mob6_dpd30#api
10000007,22,20241104,0,Rate24,零钱罐,fpd,,60,,fpd60,小程序,零钱罐#fpd60#小程序
10000007,22,20241104,1,Rate24,分期乐,dpd,12,60,12,mob12_dpd60,api,分期乐#mob12_dpd60#api
10000007,23,20240711,0,Rate24,零钱罐,dpd,3,60,3,mob3_dpd60,小程序,零钱罐#mob3_dpd60#小程序
10000007,23,20240711,0,Rate24,零钱罐,dpd,12,30,12,mob12_dpd30,小程序,零钱罐#mob12_dpd30#小程序
10000008,24,20260106,0,Bank,微众银行,dpd,6,30,6,mob6_dpd30,京东白条,微众银行#mob6_dpd30#京东白条
10000008,25,20250911,0,Rate36,拍拍贷,dpd,3,60,3,mob3_dpd60,api,拍拍贷#mob3_dpd60#api
10000008,26,20250618,0,Bank,微众银行,dpd,9,30,9,mob9_dpd30,api,微众银行#mob9_dpd30#api
10000008,26,20250618,0,Rate36,拍拍贷,dpd,3,60,3,mob3_dpd60,api,拍拍贷#mob3_dpd60#api
10000009,27,20241204,0,Rate24,分期乐,dpd,6,30,6,mob6_dpd30,小程序,分期乐#mob6_dpd30#小程序
10000009,27,20241204,0,Rate36,美团月付,dpd,6,30,6,mob6_dpd30,api,美团月付#mob6_dpd30#api
10000009,27,20241204,0,Bank,百信银行,dpd,12,60,12,mob12_dpd60,京东白条,百信银行#mob12_dpd60#京东白条
10000009,28,20251021,0,Bank,微众银行,dpd,9,30,9,mob9_dpd30,api,微众银行#mob9_dpd30#api
10000009,28,20251021,0,Rate36,美团月付,fpd,,60,,fpd60,api,美团月付#fpd60#api
10000009,28,20251021,0,Rate24,分期乐,dpd,9,30,9,mob9_dpd30,api,分期乐#mob9_dpd30#api
10000009,29,20250407,0,Bank,微众银行,fpd,,60,,fpd60,京东白条,微众银行#fpd60#京东白条
10000010,30,20250126,0,Rate24,零钱罐,dpd,3,60,3,mob3_dpd60,api,零钱罐#mob3_dpd60#api
10000010,31,20250121,0,Bank,微众银行,dpd,12,60,12,mob12_dpd60,京东白条,微众银行#mob12_dpd60#京东白条
10000010,31,20250121,0,Rate36,美团月付,dpd,6,60,6,mob6_dpd60,api,美团月付#mob6_dpd60#api
10000010,31,20250121,0,Bank,微众银行,dpd,12,60,12,mob12_dpd60,京东白条,微众银行#mob12_dpd60#京东白条
10000010,32,20240808,0,Bank,百信银行,dpd,9,60,9,mob9_dpd60,api,百信银行#mob9_dpd60#api
10000010,32,20240808,0,Rate24,分期乐,dpd,3,30,3,mob3_dpd30,api,分期乐#mob3_dpd30#api
10000010,32,20240808,0,Bank,百信银行,dpd,3,30,3,mob3_dpd30,api,百信银行#mob3_dpd30#api
10000011,33,20240516,0,Rate36,美团月付,dpd,6,30,6,mob6_dpd30,api,美团月付#mob6_dpd30#api
10000011,34,20250404,0,Rate24,分期乐,dpd,6,30,6,mob6_dpd30,api,分期乐#mob6_dpd30#api
10000011,35,20251203,0,Bank,微众银行,dpd,9,60,9,mob9_dpd60,api,微众银行#mob9_dpd60#api
10000011,35,20251203,0,Rate24,分期乐,dpd,3,30,3,mob3_dpd30,小程序,分期乐#mob3_dpd30#小程序
10000011,35,20251203,0,Rate24,分期乐,dpd,12,60,12,mob12_dpd60,小程序,分期乐#mob12_dpd60#小程序
10000012,36,20240427,0,Rate24,零钱罐,dpd,6,30,6,mob6_dpd30,api,零钱罐#mob6_dpd30#api
10000012,36,20240427,0,Rate24,分期乐,dpd,3,30,3,mob3_dpd30,小程序,分期乐#mob3_dpd30#小程序
10000012,37,20251123,-2,Rate24,分期乐,dpd,9,30,9,mob9_dpd30,小程序,分期乐#mob9_dpd30#小程序
10000012,38,20251005,0,Rate24,分期乐,dpd,3,60,3,mob3_dpd60,api,分期乐#mob3_dpd60#api
10000013,39,20240908,0,Rate24,分期乐,dpd,9,30,9,mob9_dpd30,api,分期乐#mob9_dpd30#api
10000013,40,20250606,0,Rate24,分期乐,dpd,3,60,3,mob3_dpd60,小程序,分期乐#mob3_dpd60#小程序
10000013,41,20240612,0,Rate36,拍拍贷,fpd,,30,,fpd30,api,拍拍贷#fpd30#api
10000013,41,20240612,0,Rate36,美团月付,dpd,9,30,9,mob9_dpd30,h5,美团月付#mob9_dpd30#h5
10000014,42,20250909,0,Rate36,拍拍贷,fpd,,60,,fpd60,h5,拍拍贷#fpd60#h5
10000014,43,20250710,0,Bank,百信银行,dpd,12,60,12,mob12_dpd60,api,百信银行#mob12_dpd60#api
10000014,44,20241115,0,Rate24,分期乐,dpd,9,30,9,mob9_dpd30,小程序,分期乐#mob9_dpd30#小程序
10000014,44,20241115,0,Rate24,零钱罐,dpd,9,30,9,mob9_dpd30,api,零钱罐#mob9_dpd30#api
10000014,44,20241115,0,Rate24,零钱罐,dpd,3,60,3,mob3_dpd60,小程序,零钱罐#mob3_dpd60#小程序
10000015,45,20240406,0,Rate36,美团月付,dpd,9,30,9,mob9_dpd30,api,美团月付#mob9_dpd30#api
10000015,45,20240406,0,Rate36,拍拍贷,dpd,12,30,12,mob12_dpd30,h5,拍拍贷#mob12_dpd30#h5
10000015,46,20260225,0,Rate36,美团月付,dpd,12,30,12,mob12_dpd30,api,美团月付#mob12_dpd30#api
10000015,47,20250121,0,Rate24,零钱罐,fpd,,30,,fpd30,api,零钱罐#fpd30#api
10000015,47,20250121,1,Rate36,美团月付,dpd,3,30,3,mob3_dpd30,h5,美团月付#mob3_dpd30#h5
10000016,48,20251222,0,Rate24,分期乐,dpd,9,60,9,mob9_dpd60,api,分期乐#mob9_dpd60#api
10000016,48,20251222,-2,Rate24,分期乐,dpd,3,60,3,mob3_dpd60,api,分期乐#mob3_dpd60#api
10000016,49,20250705,0,Bank,微众银行,dpd,12,30,12,mob12_dpd30,京东白条,微众银行#mob12_dpd30#京东白条
10000016,49,20250705,0,Bank,微众银行,dpd,3,60,3,mob3_dpd60,api,微众银行#mob3_dpd60#api
10000016,49,20250705,0,Bank,百信银行,fpd,,30,,fpd30,京东白条,百信银行#fpd30#京东白条
10000016,50,20250920,0,Bank,微众银行,dpd,12,60,12,mob12_dpd60,京东白条,微众银行#mob12_dpd60#京东白条
10000017,51,20250924,0,Bank,百信银行,dpd,12,30,12,mob12_dpd30,api,百信银行#mob12_dpd30#api
10000017,51,20250924,1,Bank,微众银行,dpd,12,60,12,mob12_dpd60,京东白条,微众银行#mob12_dpd60#京东白条
10000017,51,20250924,0,Rate36,美团月付,fpd,,60,,fpd60,api,美团月付#fpd60#api
10000017,52,20240705,0,Rate36,拍拍贷,fpd,,30,,fpd30,api,拍拍贷#fpd30#api
10000017,52,20240705,0,Rate36,美团月付,dpd,9,30,9,mob9_dpd30,api,美团月付#mob9_dpd30#api
10000017,53,20241122,0,Rate24,零钱罐,dpd,9,60,9,mob9_dpd60,小程序,零钱罐#mob9_dpd60#小程序
10000018,54,20250211,0,Rate24,零钱罐,dpd,12,60,12,mob12_dpd60,api,零钱罐#mob12_dpd60#api
10000018,54,20250211,1,Rate36,美团月付,dpd,3,30,3,mob3_dpd30,api,美团月付#mob3_dpd30#api
10000018,54,20250211,0,Rate36,拍拍贷,dpd,6,30,6,mob6_dpd30,api,拍拍贷#mob6_dpd30#api
10000018,55,20250223,0,Rate24,分期乐,dpd,3,30,3,mob3_dpd30,小程序,分期乐#mob3_dpd30#小程序
10000018,56,20240414,0,Rate36,拍拍贷,dpd,6,60,6,mob6_dpd60,h5,拍拍贷#mob6_dpd60#h5
10000018,56,20240414,0,Bank,微众银行,dpd,9,30,9,mob9_dpd30,京东白条,微众银行#mob9_dpd30#京东白条
10000018,56,20240414,0,Bank,微众银行,dpd,12,30,12,mob12_dpd30,京东白条,微众银行#mob12_dpd30#京东白条
10000019,57,20250423,-2,Rate24,零钱罐,fpd,,60,,fpd60,api,零钱罐#fpd60#api
10000019,57,20250423,1,Bank,微众银行,dpd,9,60,9,mob9_dpd60,api,微众银行#mob9_dpd60#api
10000019,58,20240605,0,Rate36,拍拍贷,dpd,12,60,12,mob12_dpd60,h5,拍拍贷#mob12_dpd60#h5
10000019,59,20250811,0,Rate36,美团月付,fpd,,30,,fpd30,h5,美团月付#fpd30#h5
10000019,59,20250811,0,Bank,百信银行,dpd,9,60,9,mob9_dpd60,api,百信银行#mob9_dpd60#api
10000020,60,20250708,0,Bank,微众银行,dpd,6,30,6,mob6_dpd30,京东白条,微众银行#mob6_dpd30#京东白条
10000020,60,20250708,0,Bank,微众银行,fpd,,30,,fpd30,api,微众银行#fpd30#api
10000020,60,20250708,0,Rate24,分期乐,fpd,,30,,fpd30,api,分期乐#fpd30#api
10000020,61,20260107,0,Bank,百信银行,fpd,,60,,fpd60,api,百信银行#fpd60#api
10000020,62,20250809,0,Rate36,拍拍贷,dpd,3,60,3,mob3_dpd60,api,拍拍贷#mob3_dpd60#api
10000021,63,20241111,0,Rate24,分期乐,dpd,12,30,12,mob12_dpd30,小程序,分期乐#mob12_dpd30#小程序
10000021,63,20241111,0,Rate24,分期乐,dpd,12,30,12,mob12_dpd30,小程序,分期乐#mob12_dpd30#小程序
10000021,64,20260204,0,Rate24,零钱罐,dpd,3,30,3,mob3_dpd30,小程序,零钱罐#mob3_dpd30#小程序
10000021,64,20260204,0,Rate36,美团月付,fpd,,30,,fpd30,api,美团月付#fpd30#api
10000021,65,20241220,0,Rate36,美团月付,dpd,12,60,12,mob12_dpd60,api,美团月付#mob12_dpd60#api
10000021,65,20241220,0,Bank,百信银行,fpd,,60,,fpd60,京东白条,百信银行#fpd60#京东白条
10000021,65,20241220,0,Bank,微众银行,dpd,9,30,9,mob9_dpd30,api,微众银行#mob9_dpd30#api
10000022,66,20241016,0,Bank,微众银行,dpd,12,30,12,mob12_dpd30,api,微众银行#mob12_dpd30#api
10000022,66,20241016,0,Rate36,拍拍贷,fpd,,30,,fpd30,api,拍拍贷#fpd30#api
10000022,66,20241016,0,Rate24,分期乐,dpd,6,30,6,mob6_dpd30,api,分期乐#mob6_dpd30#api
10000022,67,20251224,0,Rate36,拍拍贷,dpd,9,60,9,mob9_dpd60,h5,拍拍贷#mob9_dpd60#h5
10000022,68,20241120,0,Bank,微众银行,dpd,9,60,9,mob9_dpd60,api,微众银行#mob9_dpd60#api
10000023,69,20240405,0,Rate24,分期乐,dpd,12,60,12,mob12_dpd60,api,分期乐#mob12_dpd60#api
10000023,69,20240405,0,Rate24,零钱罐,dpd,3,30,3,mob3_dpd30,小程序,零钱罐#mob3_dpd30#小程序
10000023,69,20240405,0,Rate36,美团月付,dpd,3,30,3,mob3_dpd30,h5,美团月付#mob3_dpd30#h5
10000023,70,20250202,0,Rate36,美团月付,dpd,6,30,6,mob6_dpd30,api,美团月付#mob6_dpd30#api
10000023,70,20250202,0,Rate24,分期乐,dpd,12,30,12,mob12_dpd30,小程序,分期乐#mob12_dpd30#小程序
10000023,71,20251012,0,Bank,百信银行,dpd,9,60,9,mob9_dpd60,api,百信银行#mob9_dpd60#api
10000023,71,20251012,1,Rate24,零钱罐,dpd,6,30,6,mob6_dpd30,小程序,零钱罐#mob6_dpd30#小程序
10000024,72,20240714,0,Rate36,拍拍贷,dpd,12,30,12,mob12_dpd30,h5,拍拍贷#mob12_dpd30#h5
10000024,73,20250207,0,Rate24,零钱罐,dpd,9,30,9,mob9_dpd30,api,零钱罐#mob9_dpd30#api
10000024,74,20240622,0,Rate24,分期乐,dpd,6,30,6,mob6_dpd30,api,分期乐#mob6_dpd30#api
10000024,74,20240622,0,Rate24,零钱罐,dpd,3,30,3,mob3_dpd30,小程序,零钱罐#mob3_dpd30#小程序
10000025,75,20250717,0,Rate36,美团月付,fpd,,30,,fpd30,h5,美团月付#fpd30#h5
10000025,76,20250221,0,Rate24,分期乐,dpd,12,30,12,mob12_dpd30,api,分期乐#mob12_dpd30#api
10000025,76,20250221,0,Rate24,分期乐,dpd,12,60,12,mob12_dpd60,小程序,分期乐#mob12_dpd60#小程序
10000025,76,20250221,0,Bank,百信银行,dpd,3,30,3,mob3_dpd30,api,百信银行#mob3_dpd30#api
10000025,77,20241004,0,Rate36,美团月付,dpd,6,60,6,mob6_dpd60,h5,美团月付#mob6_dpd60#h5
10000025,77,20241004,0,Rate24,分期乐,dpd,6,30,6,mob6_dpd30,小程序,分期乐#mob6_dpd30#小程序
10000026,78,20240823,0,Rate36,拍拍贷,dpd,3,30,3,mob3_dpd30,api,拍拍贷#mob3_dpd30#api
10000026,78,20240823,-2,Rate24,分期乐,dpd,3,30,3,mob3_dpd30,api,分期乐#mob3_dpd30#api
10000026,78,20240823,0,Rate36,美团月付,dpd,6,30,6,mob6_dpd30,api,美团月付#mob6_dpd30#api
10000026,79,20250406,-2,Rate24,零钱罐,dpd,3,60,3,mob3_dpd60,小程序,零钱罐#mob3_dpd60#小程序
10000026,80,20250713,0,Rate24,零钱罐,dpd,6,30,6,mob6_dpd30,小程序,零钱罐#mob6_dpd30#小程序
10000027,81,20260113,0,Rate24,零钱罐,dpd,9,60,9,mob9_dpd60,小程序,零钱罐#mob9_dpd60#小程序
10000027,81,20260113,0,Bank,微众银行,fpd,,60,,fpd60,api,微众银行#fpd60#api
10000027,81,20260113,0,Bank,微众银行,fpd,,60,,fpd60,api,微众银行#fpd60#api
10000027,82,20250123,0,Rate24,分期乐,dpd,6,60,6,mob6_dpd60,小程序,分期乐#mob6_dpd60#小程序
10000027,83,20240608,0,Bank,微众银行,fpd,,30,,fpd30,api,微众银行#fpd30#api
10000027,83,20240608,-2,Rate24,零钱罐,dpd,9,30,9,mob9_dpd30,小程序,零钱罐#mob9_dpd30#小程序
10000027,83,20240608,0,Bank,微众银行,dpd,3,30,3,mob3_dpd30,京东白条,微众银行#mob3_dpd30#京东白条
10000028,84,20251007,0,Rate24,零钱罐,fpd,,30,,fpd30,小程序,零钱罐#fpd30#小程序
10000028,84,20251007,0,Bank,百信银行,dpd,3,30,3,mob3_dpd30,京东白条,百信银行#mob3_dpd30#京东白条
10000028,84,20251007,0,Bank,百信银行,dpd,3,60,3,mob3_dpd60,api,百信银行#mob3_dpd60#api
10000028,85,20250610,0,Rate36,拍拍贷,dpd,3,60,3,mob3_dpd60,h5,拍拍贷#mob3_dpd60#h5
10000028,85,20250610,1,Bank,微众银行,dpd,9,30,9,mob9_dpd30,api,微众银行#mob9_dpd30#api
10000028,85,20250610,0,Rate36,拍拍贷,fpd,,30,,fpd30,h5,拍拍贷#fpd30#h5
10000028,86,20250711,1,Rate24,零钱罐,dpd,12,60,12,mob12_dpd60,小程序,零钱罐#mob12_dpd60#小程序
10000028,86,20250711,0,Bank,微众银行,dpd,9,30,9,mob9_dpd30,api,微众银行#mob9_dpd30#api
10000029,87,20240506,1,Bank,百信银行,dpd,3,60,3,mob3_dpd60,京东白条,百信银行#mob3_dpd60#京东白条
10000029,87,20240506,0,Rate24,零钱罐,fpd,,30,,fpd30,api,零钱罐#fpd30#api
10000029,87,20240506,0,Bank,微众银行,fpd,,30,,fpd30,api,微众银行#fpd30#api
10000029,88,20241005,0,Rate36,美团月付,dpd,6,30,6,mob6_dpd30,h5,美团月付#mob6_dpd30#h5
10000029,88,20241005,0,Rate36,拍拍贷,dpd,9,60,9,mob9_dpd60,h5,拍拍贷#mob9_dpd60#h5
10000029,89,20250907,0,Rate36,美团月付,fpd,,60,,fpd60,h5,美团月付#fpd60#h5
10000030,90,20251014,0,Rate24,分期乐,dpd,12,30,12,mob12_dpd30,小程序,分期乐#mob12_dpd30#小程序
10000030,91,20250110,0,Rate24,零钱罐,dpd,3,30,3,mob3_dpd30,小程序,零钱罐#mob3_dpd30#小程序
10000030,91,20250110,0,Bank,微众银行,dpd,3,30,3,mob3_dpd30,京东白条,微众银行#mob3_dpd30#京东白条
10000030,92,20251011,0,Rate24,分期乐,fpd,,30,,fpd30,小程序,分期乐#fpd30#小程序
10000031,93,20251121,0,Rate24,零钱罐,dpd,3,30,3,mob3_dpd30,小程序,零钱罐#mob3_dpd30#小程序
10000031,94,20241207,0,Rate36,拍拍贷,dpd,9,60,9,mob9_dpd60,api,拍拍贷#mob9_dpd60#api
10000031,95,20251226,0,Rate36,拍拍贷,fpd,,60,,fpd60,api,拍拍贷#fpd60#api
10000032,96,20240922,0,Bank,微众银行,dpd,6,60,6,mob6_dpd60,api,微众银行#mob6_dpd60#api
10000032,97,20240805,0,Rate24,分期乐,dpd,12,30,12,mob12_dpd30,小程序,分期乐#mob12_dpd30#小程序
10000032,98,20250709,0,Bank,百信银行,dpd,12,30,12,mob12_dpd30,api,百信银行#mob12_dpd30#api
10000032,98,20250709,0,Bank,微众银行,dpd,6,30,6,mob6_dpd30,京东白条,微众银行#mob6_dpd30#京东白条
10000033,99,20250606,1,Bank,微众银行,fpd,,30,,fpd30,京东白条,微众银行#fpd30#京东白条
10000033,99,20250606,0,Rate24,零钱罐,dpd,6,30,6,mob6_dpd30,api,零钱罐#mob6_dpd30#api
10000033,99,20250606,0,Bank,百信银行,dpd,6,60,6,mob6_dpd60,api,百信银行#mob6_dpd60#api
10000033,100,20240608,0,Rate36,拍拍贷,dpd,6,60,6,mob6_dpd60,api,拍拍贷#mob6_dpd60#api
10000033,100,20240608,0,Rate24,分期乐,dpd,3,30,3,mob3_dpd30,小程序,分期乐#mob3_dpd30#小程序
10000033,100,20240608,0,Rate24,分期乐,dpd,3,30,3,mob3_dpd30,api,分期乐#mob3_dpd30#api
10000033,101,20251011,0,Rate24,零钱罐,dpd,6,30,6,mob6_dpd30,api,零钱罐#mob6_dpd30#api
10000033,101,20251011,0,Rate36,拍拍贷,fpd,,30,,fpd30,h5,拍拍贷#fpd30#h5
10000034,102,20240704,0,Rate36,美团月付,dpd,9,30,9,mob9_dpd30,h5,美团月付#mob9_dpd30#h5
10000034,102,20240704,0,Bank,百信银行,dpd,9,30,9,mob9_dpd30,京东白条,百信银行#mob9_dpd30#京东白条
10000034,103,20251001,0,Bank,百信银行,dpd,6,30,6,mob6_dpd30,京东白条,百信银行#mob6_dpd30#京东白条
10000034,103,20251001,1,Rate24,零钱罐,dpd,12,30,12,mob12_dpd30,api,零钱罐#mob12_dpd30#api
10000034,103,20251001,0,Bank,百信银行,dpd,3,30,3,mob3_dpd30,api,百信银行#mob3_dpd30#api
10000034,104,20240313,0,Rate36,美团月付,dpd,12,30,12,mob12_dpd30,api,美团月付#mob12_dpd30#api
10000034,104,20240313,0,Rate36,拍拍贷,fpd,,30,,fpd30,h5,拍拍贷#fpd30#h5
10000035,105,20251020,0,Rate24,分期乐,dpd,6,30,6,mob6_dpd30,小程序,分期乐#mob6_dpd30#小程序
10000035,105,20251020,-2,Bank,微众银行,dpd,9,30,9,mob9_dpd30,api,微众银行#mob9_dpd30#api
10000035,105,20251020,0,Rate24,分期乐,dpd,3,30,3,mob3_dpd30,api,分期乐#mob3_dpd30#api
10000035,106,20250909,0,Bank,微众银行,dpd,9,30,9,mob9_dpd30,api,微众银行#mob9_dpd30#api
10000035,106,20250909,0,Rate24,分期乐,dpd,6,30,6,mob6_dpd30,api,分期乐#mob6_dpd30#api
10000035,106,20250909,0,Bank,百信银行,dpd,3,60,3,mob3_dpd60,api,百信银行#mob3_dpd60#api
10000035,107,20250925,0,Bank,百信银行,dpd,3,30,3,mob3_dpd30,api,百信银行#mob3_dpd30#api
10000035,107,20250925,0,Rate36,拍拍贷,dpd,3,30,3,mob3_dpd30,api,拍拍贷#mob3_dpd30#api
10000036,108,20250611,1,Rate24,零钱罐,dpd,6,60,6,mob6_dpd60,api,零钱罐#mob6_dpd60#api
10000036,108,20250611,0,Bank,百信银行,fpd,,60,,fpd60,京东白条,百信银行#fpd60#京东白条
10000036,108,20250611,0,Rate24,分期乐,fpd,,60,,fpd60,小程序,分期乐#fpd60#小程序
10000036,109,20250226,0,Rate36,美团月付,dpd,3,30,3,mob3_dpd30,h5,美团月付#mob3_dpd30#h5
10000036,109,20250226,-2,Rate36,拍拍贷,dpd,12,60,12,mob12_dpd60,h5,拍拍贷#mob12_dpd60#h5
10000036,109,20250226,0,Rate36,美团月付,dpd,3,60,3,mob3_dpd60,h5,美团月付#mob3_dpd60#h5
10000036,110,20250707,0,Rate36,拍拍贷,dpd,3,60,3,mob3_dpd60,api,拍拍贷#mob3_dpd60#api
10000036,110,20250707,0,Rate24,分期乐,fpd,,60,,fpd60,api,分期乐#fpd60#api
10000036,110,20250707,0,Rate24,分期乐,dpd,3,30,3,mob3_dpd30,api,分期乐#mob3_dpd30#api
10000037,111,20240916,0,Bank,微众银行,dpd,6,30,6,mob6_dpd30,京东白条,微众银行#mob6_dpd30#京东白条
10000037,111,20240916,0,Rate36,美团月付,dpd,12,30,12,mob12_dpd30,h5,美团月付#mob12_dpd30#h5
10000037,111,20240916,0,Bank,百信银行,dpd,3,30,3,mob3_dpd30,api,百信银行#mob3_dpd30#api
10000037,112,20250922,0,Rate36,拍拍贷,dpd,12,30,12,mob12_dpd30,h5,拍拍贷#mob12_dpd30#h5
10000037,112,20250922,0,Rate24,零钱罐,dpd,3,60,3,mob3_dpd60,api,零钱罐#mob3_dpd60#api
10000037,112,20250922,0,Bank,百信银行,dpd,9,30,9,mob9_dpd30,京东白条,百信银行#mob9_dpd30#京东白条
10000037,113,20250402,0,Rate24,分期乐,dpd,6,60,6,mob6_dpd60,api,分期乐#mob6_dpd60#api
10000037,113,20250402,-2,Rate24,零钱罐,dpd,9,30,9,mob9_dpd30,api,零钱罐#mob9_dpd30#api
10000038,114,20250227,0,Rate36,美团月付,dpd,12,60,12,mob12_dpd60,h5,美团月付#mob12_dpd60#h5
10000038,114,20250227,0,Rate36,美团月付,dpd,9,30,9,mob9_dpd30,h5,美团月付#mob9_dpd30#h5
10000038,115,20250311,0,Rate36,美团月付,dpd,6,30,6,mob6_dpd30,h5,美团月付#mob6_dpd30#h5
10000038,115,20250311,0,Rate24,零钱罐,dpd,6,30,6,mob6_dpd30,api,零钱罐#mob6_dpd30#api
10000038,115,20250311,0,Rate36,美团月付,dpd,3,60,3,mob3_dpd60,api,美团月付#mob3_dpd60#api
10000038,116,20250414,0,Bank,微众银行,dpd,3,30,3,mob3_dpd30,api,微众银行#mob3_dpd30#api
10000038,116,20250414,0,Rate24,分期乐,fpd,,30,,fpd30,小程序,分期乐#fpd30#小程序
10000038,116,20250414,-2,Bank,百信银行,dpd,6,30,6,mob6_dpd30,京东白条,百信银行#mob6_dpd30#京东白条
10000039,117,20240318,0,Rate24,分期乐,dpd,6,60,6,mob6_dpd60,小程序,分期乐#mob6_dpd60#小程序
